player_1_score,player_2_score,player_3_score,player_4_score
168,22,22,55
154,79,24,62
228,203,51,130
272,36,31,58
182,41,17,56
137,39,20,52
187,68,12,98
166,67,14,93
211,4,25,39
167,53,42,44
162,46,24,81
207,89,17,61
191,21,40,77
245,72,18,53
152,59,26,64
108,60,33,34
186,31,30,62
161,81,32,111
177,59,24,80
198,111,29,38
287,75,25,72
162,67,28,76
180,88,22,90
173,38,11,63
233,110,31,80
140,66,34,69
184,95,13,71
177,27,10,37
260,79,28,91
157,66,23,46
145,125,31,52
143,69,27,81
223,96,11,51
122,82,10,67
221,30,22,69
154,26,21,51
256,63,24,119
127,44,25,14
151,84,31,74
186,80,9,79
218,130,28,107
243,213,18,25
175,12,36,64
204,95,26,72
190,63,46,56
161,79,31,60
168,87,32,94
133,68,27,49
151,35,17,20
176,69,23,85
197,39,7,64
173,123,35,83
229,107,11,79
194,161,29,77
227,71,13,78
190,54,18,89
165,46,26,63
133,53,27,51
153,95,29,70
198,18,21,22
151,65,28,59
264,124,22,56
168,40,26,46
148,29,21,81
204,62,22,45
291,59,32,47
155,103,14,72
164,45,34,35
183,13,16,66
150,46,7,70
160,65,13,63
111,30,27,38
240,167,27,30
284,314,26,49
213,33,29,83
155,57,24,89
216,71,27,112
172,84,27,130
144,43,31,38
207,129,15,74
187,66,24,51
204,57,36,18
190,87,13,75
202,106,31,73
154,61,28,48
162,69,21,85
144,96,30,62
151,81,12,53
167,93,28,65
416,59,31,45
172,129,30,67
170,143,31,90
232,105,21,108
156,35,30,46
213,46,25,54
163,84,21,39
167,35,6,42
128,57,22,83
279,35,7,47
184,195,15,81
165,33,20,78
137,74,29,58
140,71,28,34
188,57,22,51
271,27,24,41
104,15,23,20
144,127,25,52
165,13,30,80
133,76,23,54
179,62,28,51
151,100,32,88
169,35,9,57
192,33,17,39
0,62,29,49
183,69,21,42
210,42,36,43
187,214,30,38
193,68,29,43
139,34,35,37
0,92,20,225
127,78,18,83
174,15,42,75
210,30,22,39
182,207,32,38
197,108,32,19
125,50,17,76
151,31,23,46
236,75,16,84
187,34,24,52
183,52,33,55
178,63,12,40
148,93,11,37
157,18,13,63
159,58,40,51
172,22,37,5
162,46,15,63
184,145,13,51
199,16,21,39
154,73,29,106
192,42,20,62
171,95,12,26
204,53,28,67
207,71,26,37
172,81,10,48
164,77,28,77
167,82,11,63
120,28,22,70
144,64,18,39
190,66,21,29
224,75,28,53
190,61,14,91
173,61,30,59
238,23,36,57
163,47,14,101
199,70,27,47
208,56,29,47
168,14,21,39
130,51,24,58
131,28,35,90
149,56,24,64
125,108,34,36
176,8,33,64
178,44,16,25
119,106,36,80
148,48,25,41
128,85,22,53
173,73,17,100
161,197,32,44
207,8,29,71
181,43,11,86
288,45,21,183
167,47,16,51
206,70,39,58
193,45,27,81
144,33,30,67
208,112,39,43
246,20,20,40
187,19,20,67
188,236,25,59
203,79,26,38
152,71,31,33
209,82,10,106
195,66,11,62
199,36,26,52
105,62,21,43
166,58,20,48
216,89,28,33
269,69,29,25
195,22,18,58
189,45,28,131
135,59,16,28
175,56,37,47
180,58,22,56
141,25,16,56
177,79,33,58
181,69,25,60
187,98,17,55
157,39,25,96
165,64,18,96
212,53,34,38
89,69,32,50
254,80,25,88
124,32,21,43
176,68,30,79
172,35,25,42
180,64,24,66
147,62,11,65
136,66,20,33
175,106,30,86
208,56,23,40
138,63,33,12
218,74,19,79
173,22,19,65
193,53,17,64
196,82,21,75
136,37,30,46
192,25,23,84
160,40,23,36
148,30,34,61
227,68,14,74
207,43,10,120
132,69,14,38
135,72,26,81
115,84,21,51
168,23,18,92
157,78,15,90
176,17,17,35
