game_number,player,start_pos,direction,word,score
0,player 1,"(7, 7)",across,łóż,26
0,player 1,"(3, 8)",down,dialó,6
0,player 2,"(4, 7)",across,miękce,14
0,player 3,"(2, 12)",down,gren,8
0,player 4,"(1, 10)",down,blakły,11
0,player 1,"(5, 12)",across,ny,2
0,player 2,"(2, 9)",across,flugw,9
0,player 3,"(7, 7)",down,łasztw,6
0,player 4,"(11, 5)",across,sotaicom,59
0,player 1,"(9, 10)",down,iśce,11
0,player 2,"(9, 12)",down,romei,5
0,player 3,"(13, 11)",across,zią,12
0,player 4,"(8, 4)",across,ińka,10
0,player 1,"(4, 4)",down,hojai,11
0,player 2,"(6, 1)",across,ćpaj,9
0,player 3,"(9, 9)",across,dioro,4
0,player 4,"(6, 2)",down,pub,6
0,player 1,"(0, 13)",down,hiw,8
0,player 2,"(2, 12)",down,greni,1
0,player 3,"(5, 4)",across,opy,4
0,player 4,"(4, 1)",down,nać,2
0,player 1,"(2, 2)",down,cny,7
0,player 2,"(2, 2)",across,cez,2
0,player 3,"(0, 4)",down,cez,3
0,player 4,"(0, 4)",across,cznane,15
0,player 1,"(0, 0)",down,widea,18
0,player 2,"(0, 7)",down,aj,3
0,player 3,"(1, 0)",across,iw,2
0,player 2,"(0, 12)",across,mh,2
1,player 1,"(7, 7)",across,zroś,16
1,player 1,"(7, 10)",down,śmią,13
1,player 2,"(5, 8)",down,zbrylać,13
1,player 3,"(11, 3)",across,utrzeć,14
1,player 4,"(5, 8)",across,zaciec,7
1,player 1,"(0, 13)",down,romanc,12
1,player 2,"(1, 11)",down,lelii,10
1,player 3,"(2, 7)",across,zgońe,12
1,player 4,"(0, 7)",down,łaziw,18
1,player 1,"(6, 5)",down,wygawr,8
1,player 2,"(3, 3)",across,kekoi,10
1,player 3,"(2, 4)",down,jeżm,15
1,player 4,"(1, 1)",across,staz,10
1,player 1,"(7, 0)",across,sinawy,15
1,player 2,"(3, 1)",down,drelih,9
1,player 3,"(0, 5)",across,pełła,7
1,player 4,"(9, 2)",across,kijaf,11
1,player 1,"(8, 10)",across,modź,12
1,player 2,"(8, 12)",down,dopięł,14
1,player 3,"(13, 11)",across,iłó,12
1,player 4,"(10, 0)",across,spu,6
1,player 1,"(10, 1)",down,pace,8
1,player 2,"(11, 12)",across,in,1
1,player 3,"(13, 0)",across,seny,4
1,player 2,"(2, 9)",down,on,1
1,player 3,"(11, 7)",down,edt,4
2,player 1,"(7, 7)",across,udusi,20
2,player 1,"(3, 10)",down,przyszw,9
2,player 2,"(3, 7)",across,rozpij,9
2,player 3,"(0, 7)",down,agaró,30
2,player 4,"(7, 7)",down,uniżań,15
2,player 1,"(11, 3)",across,gemoa,13
2,player 2,"(10, 4)",down,besc,9
2,player 3,"(13, 1)",across,tłuczk,16
2,player 4,"(0, 4)",across,wysady,8
2,player 1,"(0, 4)",down,wisioa,6
2,player 2,"(3, 0)",across,płowię,14
2,player 3,"(3, 0)",down,palną,27
2,player 4,"(1, 0)",across,fiali,18
2,player 1,"(9, 11)",down,estre,9
2,player 2,"(13, 9)",across,hiena,12
2,player 3,"(9, 5)",across,ćmic,10
2,player 4,"(5, 3)",across,hajc,8
2,player 1,"(5, 8)",across,oazoe,4
2,player 2,"(0, 2)",down,takom,8
2,player 3,"(0, 0)",down,pf,6
2,player 4,"(7, 5)",down,śnć,6
2,player 1,"(6, 0)",across,ny,2
2,player 3,"(9, 13)",down,inkea,5
2,player 4,"(2, 6)",across,da,2
2,player 1,"(2, 12)",down,aj,2
2,player 2,"(1, 12)",down,bajze,4
2,player 3,"(8, 3)",across,wen,2
2,player 1,"(8, 3)",down,we,1
3,player 1,"(7, 7)",across,getr,14
3,player 1,"(6, 8)",down,helskm,10
3,player 2,"(7, 10)",down,rajdah,12
3,player 3,"(11, 6)",across,oćm,7
3,player 4,"(10, 8)",across,kędy,7
3,player 1,"(12, 9)",across,chojk,11
3,player 2,"(10, 6)",down,dośn,8
3,player 3,"(6, 13)",down,aranżeko,62
3,player 4,"(2, 12)",down,zupia,9
3,player 1,"(3, 10)",across,włu,10
3,player 2,"(10, 4)",across,ład,7
3,player 3,"(13, 4)",across,menzl,6
3,player 4,"(0, 10)",down,pozwam,8
3,player 1,"(14, 0)",across,kliny,24
3,player 2,"(0, 7)",across,nerp,9
3,player 3,"(0, 8)",down,edt,4
3,player 4,"(5, 9)",across,umbi,6
3,player 1,"(8, 4)",down,gały,6
3,player 2,"(11, 1)",across,boży,16
3,player 3,"(10, 2)",down,woź,19
3,player 4,"(8, 2)",across,begi,5
3,player 1,"(1, 10)",across,on,1
3,player 2,"(7, 7)",across,getró,5
3,player 3,"(4, 3)",down,fryse,9
3,player 4,"(5, 2)",across,przeze,6
3,player 2,"(8, 12)",across,aa,1
3,player 3,"(4, 5)",down,we,1
3,player 2,"(3, 5)",down,cweo,3
3,player 3,"(4, 7)",down,we,1
4,player 1,"(7, 7)",across,aa,4
4,player 1,"(8, 8)",across,jedye,9
4,player 2,"(6, 11)",down,spyż,8
4,player 3,"(2, 7)",down,siniza,5
4,player 4,"(3, 3)",across,świni,18
4,player 1,"(3, 4)",down,wymogu,13
4,player 2,"(2, 7)",across,storni,7
4,player 3,"(0, 11)",down,cenu,12
4,player 4,"(0, 7)",across,kocac,18
4,player 1,"(7, 0)",across,enolg,15
4,player 2,"(1, 0)",down,zalodźe,14
4,player 3,"(6, 9)",across,saską,9
4,player 4,"(1, 0)",across,zóz,12
4,player 1,"(6, 2)",down,hodujm,10
4,player 2,"(11, 2)",across,myrr,8
4,player 3,"(10, 4)",down,brań,14
4,player 4,"(3, 13)",down,pytą,6
4,player 1,"(14, 2)",across,feci,9
4,player 2,"(4, 7)",across,niob,8
4,player 3,"(10, 0)",across,łkj,5
4,player 4,"(5, 3)",across,imę,6
4,player 1,"(7, 8)",down,ajerai,4
4,player 2,"(11, 7)",across,łamag,15
4,player 3,"(9, 6)",across,ewe,2
4,player 4,"(10, 10)",down,dal,6
4,player 1,"(10, 0)",down,ław,2
4,player 2,"(0, 1)",down,tó,2
4,player 3,"(5, 7)",across,iw,1
4,player 4,"(4, 0)",across,on,1
4,player 1,"(8, 4)",across,uz,1
4,player 2,"(9, 2)",across,uz,1
5,player 1,"(7, 7)",across,pań,20
5,player 1,"(6, 7)",down,epodó,9
5,player 2,"(6, 4)",across,sweea,4
5,player 3,"(8, 1)",across,patowgo,10
5,player 4,"(10, 3)",across,wrębó,11
5,player 1,"(10, 3)",down,wpią,12
5,player 2,"(13, 0)",across,taśą,16
5,player 3,"(5, 2)",down,szmaj,7
5,player 4,"(9, 7)",across,dumk,7
5,player 1,"(2, 6)",down,ziołe,6
5,player 2,"(1, 1)",down,zdeba,16
5,player 3,"(3, 3)",across,facim,19
5,player 4,"(9, 10)",down,kuźi,16
5,player 1,"(1, 4)",down,olać,15
5,player 2,"(8, 5)",down,wżęca,8
5,player 3,"(12, 7)",across,ranił,6
5,player 4,"(11, 8)",down,gad,5
5,player 1,"(10, 9)",across,huj,6
5,player 2,"(14, 6)",across,esce,15
5,player 3,"(0, 4)",across,pani,9
5,player 4,"(1, 7)",across,wizi,4
5,player 1,"(2, 0)",across,odo,3
5,player 2,"(1, 10)",down,italik,10
5,player 3,"(3, 9)",across,halny,12
5,player 4,"(11, 0)",across,nerp,3
5,player 1,"(6, 10)",across,kie,2
5,player 2,"(10, 1)",down,sera,2
5,player 3,"(1, 8)",down,in,1
5,player 1,"(3, 12)",down,ny,2
6,player 1,"(7, 7)",across,serż,16
6,player 1,"(6, 8)",down,wen,2
6,player 2,"(6, 10)",down,ożóć,12
6,player 4,"(3, 11)",down,bean,12
6,player 1,"(4, 9)",across,thet,10
6,player 2,"(0, 9)",down,rzęstw,9
6,player 3,"(0, 7)",across,wirioy,15
6,player 4,"(0, 7)",down,wijąe,9
6,player 1,"(3, 3)",across,wońcą,13
6,player 2,"(2, 4)",down,zośk,13
