game_number,player,start_pos,direction,word,score
0,player 1,"(7, 7)",across,zryj,14
0,player 1,"(7, 10)",down,jolą,13
0,player 2,"(6, 8)",down,zruganeo,61
0,player 3,"(13, 8)",across,osacaj,16
0,player 4,"(11, 3)",across,bromin,13
0,player 1,"(9, 4)",down,parkę,11
0,player 2,"(9, 2)",across,łapć,10
0,player 3,"(9, 12)",down,rocha,10
0,player 4,"(13, 0)",across,sefię,16
0,player 1,"(4, 2)",down,dyszałe,8
0,player 2,"(7, 2)",across,zewó,7
0,player 3,"(0, 3)",down,onego,13
0,player 4,"(0, 2)",across,powiekm,27
0,player 1,"(2, 2)",across,leky,8
0,player 2,"(0, 6)",down,eś,5
0,player 3,"(4, 0)",across,bidot,8
0,player 4,"(4, 0)",down,bemiy,18
0,player 1,"(1, 8)",across,hucz,6
0,player 2,"(1, 9)",down,utrat,6
0,player 3,"(3, 6)",across,zairsu,13
0,player 4,"(2, 7)",down,dań,9
0,player 1,"(10, 6)",down,żmii,7
0,player 2,"(10, 1)",across,we,1
0,player 3,"(12, 2)",down,pf,4
0,player 4,"(1, 11)",down,zdun,3
0,player 1,"(8, 10)",across,on,1
0,player 2,"(2, 11)",across,do,2
0,player 3,"(12, 0)",down,as,1
0,player 4,"(10, 12)",across,on,1
1,player 1,"(7, 7)",across,kobiam,20
1,player 1,"(6, 11)",down,załzwi,9
1,player 2,"(4, 7)",down,pickeom,9
1,player 3,"(7, 9)",down,baźe,11
1,player 4,"(4, 5)",across,lepmż,10
1,player 1,"(10, 11)",across,wtó,7
1,player 2,"(8, 3)",across,palbe,8
1,player 3,"(6, 3)",down,odpruła,17
1,player 4,"(10, 1)",across,chuć,17
1,player 1,"(6, 1)",across,groń,11
1,player 2,"(10, 1)",down,cady,10
1,player 3,"(14, 0)",across,tuję,39
1,player 4,"(12, 3)",across,arniowi,6
1,player 1,"(1, 6)",down,iśce,8
1,player 2,"(1, 1)",across,wpisoi,12
1,player 3,"(1, 3)",down,idąą,22
1,player 4,"(2, 6)",across,ślink,6
1,player 1,"(13, 9)",across,wagy,7
1,player 2,"(3, 1)",down,fangę,7
1,player 3,"(3, 10)",across,uz,3
1,player 4,"(8, 13)",down,esóka,5
1,player 1,"(11, 5)",down,ans,2
1,player 3,"(1, 10)",across,on,2
1,player 4,"(12, 7)",down,on,1
2,player 1,"(7, 7)",across,teje,14
2,player 1,"(5, 10)",down,niewidny,61
2,player 2,"(0, 11)",down,uploay,13
2,player 3,"(9, 6)",across,łycki,9
2,player 4,"(11, 9)",across,dną,17
2,player 1,"(3, 8)",across,pogoń,13
2,player 2,"(1, 11)",across,paź,20
2,player 3,"(0, 6)",across,chaneu,24
2,player 4,"(3, 8)",down,puż,8
2,player 1,"(4, 3)",across,azylsu,8
2,player 2,"(3, 3)",down,karlim,12
2,player 3,"(7, 0)",across,wdoi,12
2,player 4,"(3, 0)",across,notk,4
2,player 1,"(0, 0)",down,poznam,21
2,player 2,"(0, 0)",across,piało,6
2,player 3,"(1, 5)",down,farysa,9
2,player 4,"(2, 4)",across,sanz,3
2,player 1,"(7, 1)",down,dbj,6
2,player 2,"(8, 10)",across,watr,4
2,player 3,"(6, 13)",down,śurę,10
2,player 4,"(5, 0)",across,mh,3
2,player 1,"(7, 7)",down,trylikm,6
2,player 2,"(6, 12)",across,eś,1
2,player 3,"(6, 5)",across,as,1
2,player 4,"(12, 5)",across,beki,5
3,player 1,"(7, 7)",across,bujrpy,26
3,player 1,"(6, 8)",down,muldą,11
3,player 2,"(5, 11)",down,wypinało,66
3,player 3,"(10, 10)",across,pajz,8
3,player 4,"(10, 5)",across,zeźą,11
3,player 1,"(12, 9)",across,stokó,12
3,player 2,"(1, 10)",down,akedi,9
3,player 3,"(3, 10)",across,efi,16
3,player 4,"(1, 8)",across,żwacem,22
3,player 1,"(10, 5)",down,zań,8
3,player 2,"(11, 2)",across,kuta,13
3,player 3,"(9, 2)",down,łyka,7
3,player 4,"(0, 12)",down,zegim,9
3,player 1,"(1, 8)",down,żena,3
3,player 2,"(2, 3)",across,ersaze,5
3,player 3,"(1, 1)",across,hiw,10
3,player 4,"(0, 6)",down,zranć,9
3,player 1,"(0, 4)",across,bozi,15
3,player 2,"(4, 0)",across,pękatoć,13
3,player 3,"(2, 0)",down,rypie,5
3,player 4,"(4, 5)",down,odwag,7
3,player 1,"(7, 2)",across,śnca,8
3,player 2,"(12, 1)",down,as,4
3,player 3,"(4, 12)",across,mh,3
3,player 4,"(0, 9)",down,iw,1
3,player 1,"(6, 2)",down,eś,1
3,player 2,"(9, 8)",across,do,1
3,player 3,"(10, 1)",across,ny,1
3,player 4,"(10, 0)",across,cny,2
3,player 4,"(4, 3)",down,as,1
4,player 1,"(7, 7)",across,eś,12
4,player 1,"(6, 7)",down,hewr,5
4,player 2,"(9, 5)",across,parli,6
4,player 3,"(9, 9)",down,idylę,11
4,player 4,"(13, 7)",across,ciężała,26
4,player 1,"(11, 8)",across,byłą,21
4,player 2,"(10, 11)",across,tkw,5
4,player 3,"(10, 3)",across,amf,10
4,player 4,"(3, 13)",down,miedziaw,59
4,player 1,"(4, 6)",across,zgniecei,61
4,player 2,"(2, 11)",down,moczon,8
4,player 3,"(9, 3)",down,gasik,9
4,player 4,"(13, 1)",across,pók,14
4,player 1,"(0, 7)",down,batog,12
4,player 2,"(0, 9)",down,naraić,10
4,player 3,"(0, 14)",down,bisu,21
4,player 4,"(1, 6)",across,jaja,6
4,player 1,"(2, 9)",across,remy,5
4,player 2,"(0, 9)",across,nodz,4
4,player 3,"(11, 0)",across,wnus,5
4,player 4,"(12, 3)",across,icek,5
4,player 1,"(9, 0)",down,hiw,4
4,player 2,"(6, 10)",across,pond,3
4,player 1,"(12, 13)",down,aa,1
5,player 1,"(7, 7)",across,bemiy,18
5,player 1,"(4, 9)",down,pojmany,10
5,player 2,"(10, 6)",across,namyśe,15
5,player 3,"(0, 7)",down,kwieciłb,77
5,player 4,"(9, 11)",down,ketę,13
5,player 1,"(4, 5)",across,oscypów,15
5,player 2,"(0, 11)",down,dżulw,16
5,player 3,"(12, 8)",across,zrzęna,6
5,player 4,"(8, 13)",down,chowam,18
5,player 1,"(1, 2)",across,prawowań,64
5,player 2,"(2, 10)",across,duć,14
5,player 3,"(0, 3)",down,kraks,10
5,player 4,"(3, 5)",down,sodalt,8
5,player 1,"(7, 0)",across,pacial,21
5,player 2,"(6, 3)",down,filtze,13
5,player 3,"(11, 0)",across,synere,6
5,player 4,"(6, 0)",down,upią,9
5,player 1,"(3, 0)",across,znikas,3
5,player 2,"(0, 0)",down,bioz,15
5,player 3,"(10, 7)",down,aj,3
5,player 4,"(11, 1)",down,yer,4
5,player 1,"(0, 5)",down,iw,1
5,player 2,"(0, 11)",across,do,1
5,player 2,"(6, 11)",down,ny,1
6,player 1,"(7, 7)",across,synci,14
6,player 1,"(3, 11)",down,hażaie,17
6,player 2,"(4, 7)",across,palmati,12
6,player 3,"(1, 13)",down,jaziu,16
6,player 4,"(3, 8)",down,gad,5
6,player 1,"(5, 14)",down,zocy,18
6,player 2,"(7, 9)",down,nabywas,9
6,player 3,"(11, 7)",across,hewei,8
6,player 4,"(2, 12)",across,da,4
6,player 1,"(12, 11)",across,nif,8
