game_number,player,start_pos,direction,word,score
0,player 1,"(7, 8)",across,aj,4
0,player 1,"(6, 8)",across,da,3
0,player 2,"(7, 4)",across,siewaj,8
0,player 3,"(3, 4)",down,nieosi,6
0,player 4,"(3, 2)",across,cen,5
0,player 1,"(4, 4)",across,in,1
0,player 2,"(1, 2)",down,mocą,9
0,player 3,"(1, 0)",across,rumowyh,20
0,player 4,"(6, 6)",down,geg,6
0,player 1,"(6, 2)",across,cło,5
0,player 2,"(0, 6)",across,mim,15
0,player 3,"(8, 0)",across,bryzi,7
0,player 4,"(0, 4)",down,iw,1
0,player 1,"(6, 8)",across,dal,2
0,player 2,"(0, 0)",down,sras,9
0,player 3,"(7, 1)",down,pralay,8
0,player 4,"(4, 8)",down,koda,3
0,player 1,"(4, 8)",across,klep,6
0,player 2,"(12, 0)",across,wyuc,9
0,player 3,"(1, 10)",down,trzepl,6
0,player 4,"(5, 7)",across,do,2
0,player 1,"(4, 8)",across,klepe,1
0,player 2,"(0, 12)",down,nawieź,14
0,player 3,"(10, 1)",across,lożah,11
0,player 4,"(1, 12)",across,aa,2
0,player 1,"(0, 11)",across,in,1
0,player 2,"(2, 9)",across,arow,2
0,player 3,"(6, 9)",down,ajerókę,13
0,player 4,"(10, 4)",down,aj,3
0,player 1,"(3, 12)",across,in,1
0,player 2,"(12, 5)",across,bodnęł,10
0,player 3,"(11, 7)",down,edt,3
0,player 4,"(9, 7)",across,skrzyć,12
0,player 1,"(8, 11)",down,zyzi,5
0,player 4,"(4, 1)",across,tą,2
1,player 1,"(7, 8)",across,etk,5
1,player 1,"(6, 7)",across,iw,2
1,player 2,"(6, 10)",down,ektaje,11
1,player 3,"(9, 6)",across,orszałm,9
1,player 4,"(10, 4)",across,cen,6
1,player 1,"(10, 1)",across,wiocen,3
1,player 2,"(7, 3)",down,odkopu,14
1,player 3,"(7, 1)",across,anody,6
1,player 4,"(8, 3)",across,da,1
1,player 1,"(6, 0)",across,aa,2
1,player 2,"(11, 9)",across,zeń,22
1,player 3,"(12, 2)",across,puszy,8
1,player 4,"(9, 1)",down,iw,1
