player_1_score,player_2_score,player_3_score,player_4_score
89,45,39,103
84,58,68,52
66,56,96,57
76,61,109,41
67,63,48,67
75,71,64,46
145,64,51,67
76,134,61,50
140,63,53,46
88,52,63,59
97,85,42,45
73,53,77,77
80,107,55,65
118,64,115,69
87,71,40,46
80,79,76,53
74,49,59,127
72,49,60,70
73,51,55,49
71,66,62,46
106,97,48,61
151,95,44,76
84,61,112,30
77,48,52,57
53,71,57,68
68,50,56,70
82,75,92,57
90,67,41,69
79,74,44,64
54,79,60,61
88,55,65,44
63,62,77,51
87,63,53,41
82,50,59,51
76,61,58,64
63,95,65,50
86,44,62,107
93,47,56,126
93,80,53,57
84,59,58,47
85,62,46,67
133,46,55,66
106,63,43,47
75,114,75,63
127,54,77,42
82,54,38,91
161,64,84,47
86,146,65,54
81,73,57,44
84,104,66,64
69,51,93,180
94,48,52,39
102,113,40,53
88,108,55,49
144,85,104,68
75,132,69,51
75,66,65,74
83,100,57,58
84,67,50,65
87,51,52,57
124,56,64,56
76,43,79,84
62,66,62,61
61,35,50,51
146,63,77,44
94,60,46,42
64,68,53,41
123,77,62,55
71,71,49,45
88,54,55,61
51,71,61,52
139,72,66,140
103,53,51,51
164,108,40,57
64,47,56,44
136,99,50,42
92,49,62,54
91,72,43,56
61,102,65,42
137,55,60,54
120,52,102,179
132,40,66,53
92,60,72,35
95,70,46,47
58,52,33,64
99,54,64,55
78,65,45,32
123,58,48,60
78,87,78,84
78,37,75,58
73,107,66,104
84,62,99,72
74,84,54,56
76,150,47,88
64,72,106,45
78,94,63,75
78,128,119,56
93,98,51,60
140,70,45,60
129,68,50,51
74,64,115,52
127,73,46,51
72,64,52,66
91,65,82,44
76,55,56,38
89,55,109,59
76,100,58,106
128,72,102,54
82,65,71,57
188,61,57,46
105,54,47,48
57,93,104,51
57,82,58,44
49,63,67,55
67,141,55,46
69,55,75,47
90,52,44,67
75,83,62,57
57,80,54,53
175,95,50,55
173,45,69,42
67,59,88,94
80,63,61,68
67,59,74,84
89,54,108,47
79,176,49,70
75,89,49,79
62,109,45,69
108,63,38,28
61,119,68,67
79,70,60,53
70,66,49,68
73,101,94,61
86,48,46,58
62,124,48,100
69,41,57,68
127,60,50,47
137,37,61,45
73,73,51,48
197,54,65,39
81,44,73,58
78,66,48,61
86,53,48,78
78,69,48,56
73,65,129,66
57,54,54,55
78,93,65,117
60,51,132,58
86,70,41,71
91,64,53,42
95,106,52,52
92,134,56,54
96,48,28,65
68,63,110,51
80,94,63,73
94,79,48,48
144,69,57,58
76,104,96,42
80,119,58,74
76,95,40,47
69,101,56,70
147,56,37,56
87,48,62,62
90,112,76,57
47,66,112,88
128,99,64,56
75,68,60,101
75,74,53,61
80,50,54,53
81,49,93,63
123,72,66,56
128,57,45,93
118,43,61,63
126,72,55,63
86,61,61,36
65,68,45,56
146,55,57,47
77,56,68,129
99,62,52,51
74,61,66,60
97,115,106,63
105,62,58,61
98,38,73,59
66,47,71,67
78,57,71,48
120,64,52,53
117,57,69,33
74,43,55,75
84,69,68,52
98,43,79,37
65,52,63,113
91,65,125,39
78,53,63,45
174,74,60,51
91,63,123,43
66,83,46,47
85,58,66,61
86,45,56,62
85,70,61,58
132,54,53,69
67,52,48,115
86,56,42,77
104,67,56,65
145,65,66,42
86,65,50,70
73,53,60,70
103,72,57,106
115,55,75,53
87,50,67,56
75,78,40,45
77,56,58,55
85,84,89,46
93,63,54,51
105,47,50,42
77,43,55,62
91,56,66,47
143,73,48,40
90,64,62,46
69,120,39,89
137,67,73,36
74,64,120,55
72,49,60,62
68,177,53,44
82,54,60,59
62,120,55,51
176,68,55,66
87,60,43,63
69,111,56,44
99,58,61,113
68,64,56,57
103,64,51,50
89,55,68,54
89,46,62,53
84,117,97,54
67,71,49,52
78,69,56,150
64,65,56,125
78,76,55,67
77,66,105,59
74,43,63,32
86,68,77,104
66,50,82,65
143,78,56,159
85,48,50,48
53,64,57,90
87,45,47,52
74,61,46,55
70,76,122,67
70,64,56,68
106,47,52,47
131,64,79,35
74,56,137,62
63,84,43,65
66,72,119,66
100,80,50,41
92,70,104,70
76,57,80,70
