player_1_score,player_2_score,player_3_score,player_4_score
88,54,19,59
88,44,21,39
102,53,26,48
80,72,18,41
197,44,15,22
91,107,38,21
90,106,24,31
121,84,23,22
137,52,24,29
93,99,15,51
69,67,21,32
116,66,16,38
114,52,19,25
75,62,19,39
93,70,16,39
141,46,19,21
151,60,21,42
99,90,18,29
143,38,24,33
175,56,22,31
82,70,12,42
107,127,30,38
146,65,10,52
160,59,19,22
110,55,25,26
79,54,21,38
141,60,34,55
114,57,16,34
108,59,22,29
94,83,13,43
119,110,9,43
102,55,19,23
77,70,20,44
152,56,19,50
119,59,16,40
97,58,22,45
123,42,16,31
106,57,23,27
125,53,15,42
115,48,15,24
107,61,18,39
79,62,22,46
118,80,12,40
101,59,20,45
150,41,15,59
117,78,20,35
161,59,15,35
126,40,21,36
99,47,23,37
102,46,21,51
93,38,15,51
122,50,15,22
157,65,17,43
97,55,13,34
164,39,11,31
126,49,12,40
89,57,11,33
111,111,33,43
93,68,26,38
160,57,25,36
77,99,17,34
136,58,22,22
132,59,17,34
127,94,16,41
152,43,11,42
98,41,29,25
159,63,22,47
109,54,21,32
104,104,21,24
80,70,21,32
164,48,17,36
102,67,30,26
98,58,34,12
110,86,15,40
120,44,16,35
102,40,23,43
209,61,16,29
161,53,13,32
73,208,16,46
121,40,19,45
128,50,18,50
96,58,13,44
98,44,25,43
128,76,33,24
101,60,16,46
77,52,27,33
128,45,22,36
116,48,12,33
151,110,23,23
80,47,17,34
99,62,23,48
113,75,21,91
191,55,15,25
134,42,34,37
140,63,10,50
134,48,13,39
97,72,21,31
129,62,29,43
152,151,12,50
88,56,18,33
97,39,16,35
137,83,22,41
154,72,14,28
100,44,18,36
116,40,7,38
139,70,13,38
102,69,12,39
126,50,21,39
94,52,17,43
100,88,20,26
89,35,20,65
106,61,13,33
88,73,17,28
102,109,20,33
99,60,28,36
137,47,14,56
120,47,16,30
158,47,15,40
150,61,11,29
101,63,12,52
100,60,11,41
91,61,19,52
148,90,28,48
87,48,15,50
114,53,15,31
107,64,20,24
167,48,20,36
185,59,16,27
110,51,20,42
99,70,15,23
127,55,18,25
86,76,23,43
115,67,33,23
91,47,17,35
107,55,28,19
76,68,26,46
135,65,30,23
123,99,24,20
108,60,15,46
87,62,15,59
103,79,24,41
91,54,27,46
123,64,15,41
155,93,20,34
94,64,14,26
93,52,21,37
84,51,33,48
97,52,13,36
117,44,18,29
73,59,31,22
128,54,13,32
86,62,15,37
180,59,22,29
146,53,13,32
108,49,14,37
81,76,28,35
87,54,27,53
88,54,13,40
88,97,21,55
117,55,19,48
149,38,18,41
88,88,12,42
115,38,20,57
105,51,19,35
267,56,19,32
86,49,22,29
109,59,25,30
156,58,17,44
165,97,19,24
155,75,29,37
113,108,26,38
189,50,17,25
115,56,17,65
167,57,16,33
153,106,24,36
132,56,24,40
103,49,16,51
128,65,22,36
114,71,22,26
85,98,15,46
179,47,24,37
99,64,27,46
84,112,13,36
113,43,21,41
96,58,21,27
147,57,15,69
101,60,30,23
148,63,18,31
111,64,19,24
90,65,40,53
98,51,24,59
204,67,20,27
85,82,14,42
150,47,21,20
111,58,14,26
100,67,27,29
84,50,16,31
128,64,8,30
67,50,19,54
85,101,17,29
