player_1_score,player_2_score,player_3_score,player_4_score
31,129,68,28
30,124,77,28
30,53,60,22
30,55,71,32
30,121,53,40
26,75,51,25
32,85,58,29
23,78,55,33
43,101,54,19
34,88,65,26
29,77,61,25
26,52,74,39
43,53,84,18
38,82,72,35
26,58,128,36
25,72,115,51
40,87,112,25
40,92,76,29
21,91,95,17
19,98,59,29
35,64,71,24
19,95,59,33
35,83,83,21
16,79,61,35
36,89,53,25
29,90,82,22
23,55,97,34
28,79,52,21
40,98,54,22
41,85,54,22
40,81,70,27
18,119,71,35
32,58,61,24
34,150,71,17
27,90,73,16
42,50,56,37
21,61,62,24
18,98,56,24
26,114,142,34
42,61,115,36
42,60,155,21
19,102,65,29
27,128,68,20
23,159,59,32
29,123,50,20
29,118,90,38
32,66,72,34
23,67,64,39
39,77,104,32
25,93,123,24
36,134,134,25
19,94,61,36
21,130,54,31
28,93,53,24
23,46,95,12
29,61,77,50
35,139,98,15
80,74,61,30
27,59,70,40
33,98,52,26
35,83,77,25
23,78,57,29
33,79,78,28
36,65,48,30
32,63,43,30
55,97,94,28
48,58,106,28
39,80,56,48
45,134,49,17
25,88,67,20
29,55,99,19
46,69,63,16
34,103,56,32
35,83,64,24
36,47,88,25
37,111,94,30
34,72,61,15
35,80,54,30
37,72,77,30
23,49,52,28
44,67,64,27
22,159,52,34
40,77,72,18
38,87,42,32
33,128,57,24
28,99,51,15
24,65,66,26
39,68,100,29
38,68,42,34
29,94,54,16
21,75,60,22
19,61,55,31
49,65,47,20
40,77,115,18
41,51,110,12
31,68,84,30
34,123,46,12
34,144,67,21
35,75,91,17
28,81,101,44
43,140,67,34
24,99,64,26
25,70,66,28
34,88,51,23
34,77,83,25
15,95,49,30
33,114,57,26
32,70,66,23
33,184,58,14
34,161,61,24
23,90,85,17
31,90,43,41
28,136,53,34
35,175,58,17
33,165,70,22
26,54,79,29
44,76,47,27
18,63,48,27
40,67,47,25
44,50,47,36
42,79,62,28
19,83,42,33
28,75,61,19
26,76,47,46
32,71,57,19
49,167,36,17
55,120,63,29
31,80,77,41
32,115,90,22
14,129,50,30
21,90,61,24
37,61,58,56
48,129,54,29
21,61,68,31
16,70,59,34
31,77,62,31
28,66,90,27
28,93,63,13
36,71,71,18
25,74,56,46
56,102,57,21
25,77,121,27
66,80,75,44
29,123,71,32
25,74,80,26
36,78,51,27
29,69,139,26
40,64,48,37
33,76,66,18
24,105,59,19
41,47,109,51
39,68,79,38
62,70,61,17
12,42,98,27
32,92,63,28
45,64,85,24
34,122,87,20
64,89,55,13
59,44,82,25
26,140,54,36
36,71,65,14
22,81,62,15
32,100,81,34
39,58,44,30
40,76,69,18
25,96,56,13
22,53,68,25
38,68,50,34
34,87,63,25
41,107,65,15
21,93,73,23
31,91,49,29
57,83,49,11
45,109,66,17
25,51,92,24
34,70,67,49
43,48,50,30
21,91,141,27
28,73,98,30
16,63,139,41
31,76,63,32
34,96,54,13
23,55,128,42
25,88,49,35
44,142,57,26
58,72,47,22
28,74,122,19
31,90,122,30
22,82,55,23
17,108,59,31
34,70,77,25
33,61,61,38
47,67,50,27
30,61,68,26
30,81,143,22
26,90,62,35
44,114,50,24
23,76,122,24
32,77,68,21
30,93,48,40
