player_1_score,player_2_score,player_3_score,player_4_score
164,147,248,260
158,141,162,104
137,182,114,100
157,117,105,128
170,171,144,173
124,83,70,171
164,109,156,101
240,86,145,123
130,119,300,159
165,143,244,249
106,138,103,110
112,124,157,126
108,126,134,108
228,138,165,251
239,130,72,127
172,153,159,191
238,134,156,144
128,331,113,126
165,104,113,101
125,130,123,151
225,144,114,144
174,141,142,145
178,276,129,101
129,113,84,141
171,137,173,129
135,196,189,91
158,144,145,172
172,172,110,125
122,157,129,121
168,139,174,172
142,142,115,217
0,200,159,117
113,131,135,136
135,207,114,116
153,129,154,109
174,144,131,108
163,122,120,133
166,82,123,105
143,90,107,103
162,120,148,148
154,136,96,165
125,109,162,131
158,121,136,134
131,108,133,122
132,112,141,119
133,150,152,114
172,131,134,134
105,135,131,114
156,129,165,101
133,127,115,140
146,116,115,136
189,110,137,138
136,201,119,138
141,144,140,191
145,142,113,122
198,141,101,141
159,128,129,127
145,136,176,178
165,141,106,103
100,125,151,115
147,134,139,151
145,141,150,95
203,251,156,158
240,236,155,107
194,140,131,121
98,131,82,115
162,121,136,85
174,125,96,147
123,132,113,99
146,124,91,124
139,164,120,122
139,225,132,101
145,120,82,119
149,114,108,94
121,164,114,130
121,139,146,131
148,138,106,111
183,115,117,120
152,145,260,132
145,159,136,189
196,129,149,159
143,117,155,129
106,101,104,93
170,161,183,111
182,124,195,121
142,112,96,124
164,145,113,171
127,74,116,148
0,214,156,181
162,150,156,145
114,128,144,149
136,181,142,112
169,192,145,137
155,165,169,162
152,173,93,148
137,139,127,133
138,166,131,134
162,300,265,143
150,159,93,129
184,98,110,116
126,121,125,128
119,58,92,112
132,117,137,140
251,132,241,210
106,154,147,109
124,141,144,140
114,91,106,81
140,146,137,120
173,134,127,153
134,122,203,102
174,140,122,113
117,135,104,177
150,359,348,137
154,125,135,146
147,103,174,127
141,133,192,114
152,132,146,96
150,144,125,110
198,102,113,139
156,140,134,96
151,195,133,154
120,149,107,90
120,104,134,185
128,105,113,121
100,127,106,205
161,162,209,164
134,148,128,115
182,162,117,141
102,126,80,115
180,106,143,102
128,147,106,106
192,140,153,137
137,151,194,147
178,149,110,193
107,108,112,182
147,276,204,199
136,115,255,108
132,119,101,79
103,141,123,126
115,153,133,128
130,107,207,109
184,113,128,246
174,128,159,145
137,124,287,180
128,111,116,89
156,136,154,152
131,94,108,127
129,127,207,119
179,129,81,122
177,99,112,174
194,128,163,174
128,108,117,90
184,139,150,138
234,150,112,170
118,195,147,116
173,143,108,124
135,141,144,174
119,123,118,106
150,374,261,336
158,150,146,130
200,242,147,145
104,101,117,128
104,129,155,121
154,132,165,118
107,135,146,120
122,112,252,198
81,146,120,125
127,166,131,155
104,105,135,136
174,104,141,115
140,144,117,162
146,309,156,174
174,128,128,198
104,133,121,80
126,206,103,103
131,104,114,100
184,151,186,165
140,125,137,109
231,142,106,180
105,125,127,132
87,136,115,182
139,183,105,161
142,110,147,142
164,133,183,251
180,151,140,148
112,139,154,120
139,138,133,146
112,156,154,183
94,106,117,120
211,122,153,108
128,153,109,124
179,133,101,150
139,130,117,138
128,109,168,168
111,74,169,180
111,137,113,135
134,93,117,133
137,115,143,138
112,122,97,113
135,132,103,97
153,142,95,149
150,132,165,105
128,104,138,199
160,125,192,120
204,158,165,200
104,129,124,126
172,94,137,155
139,193,181,168
120,151,142,115
109,154,135,104
0,206,305,184
176,124,157,170
124,143,276,144
112,128,113,152
116,126,147,121
130,169,106,130
124,103,129,115
117,118,159,136
133,180,137,131
117,117,160,180
164,98,102,124
169,152,126,109
142,145,142,127
142,152,176,151
137,107,101,116
0,206,160,118
231,148,139,105
127,155,136,130
145,142,89,141
97,124,109,108
113,146,99,121
133,247,109,122
129,116,107,100
145,129,104,136
124,303,120,121
162,163,170,137
137,87,153,150
156,171,115,174
146,115,110,108
220,127,127,115
119,151,133,119
96,147,186,125
144,146,173,139
171,180,154,130
143,86,162,231
125,143,137,117
119,111,112,129
139,123,115,66
114,113,120,99
108,139,123,117
145,198,123,147
132,156,144,110
141,157,105,122
108,131,109,84
0,205,138,168
157,93,121,90
115,100,163,112
96,124,95,129
153,136,287,134
0,183,72,164
134,120,216,108
130,135,135,119
124,146,114,108
215,142,150,119
108,137,95,70
190,179,178,127
152,148,224,299
138,135,128,126
136,118,144,156
159,132,138,133
135,154,102,102
173,114,153,128
141,294,166,135
100,198,123,107
157,126,100,119
162,113,123,158
162,230,155,129
131,88,144,174
130,114,116,111
135,174,178,178
92,111,128,114
113,78,102,123
169,192,113,120
140,93,109,150
160,145,119,117
122,108,101,148
112,143,143,100
191,262,134,120
134,197,139,116
143,120,118,148
128,99,131,157
126,92,168,164
115,83,128,158
82,153,115,163
133,159,124,129
167,148,164,122
149,110,122,106
125,282,117,188
178,134,103,100
175,170,160,155
155,105,119,119
113,139,101,201
166,113,129,168
153,108,61,129
107,110,86,151
148,167,179,145
161,158,147,143
140,117,95,156
145,175,92,127
136,163,120,87
118,128,233,123
98,121,114,132
240,101,250,117
154,101,101,134
104,136,106,123
189,131,140,119
179,153,131,142
152,168,153,138
145,117,96,135
113,95,86,69
100,132,216,98
151,226,144,135
141,143,112,128
164,156,188,104
204,141,194,229
139,150,124,127
132,134,156,101
150,126,148,140
84,112,129,144
160,198,173,161
122,159,122,110
81,106,176,101
202,124,125,191
157,101,104,119
149,137,131,93
141,109,131,157
80,137,97,93
130,121,134,97
158,114,136,121
140,137,135,101
163,144,198,194
133,100,124,179
151,144,183,106
132,145,151,154
166,232,150,269
150,228,187,148
130,107,137,188
125,102,135,136
131,121,136,97
138,137,116,111
127,113,109,125
146,143,108,116
193,139,165,151
92,101,118,104
181,151,129,177
120,86,147,174
167,139,219,239
233,149,138,127
104,104,110,162
211,158,111,90
155,97,118,141
112,276,89,90
133,109,118,119
119,120,105,129
226,201,153,226
141,161,136,106
124,181,193,116
162,141,133,144
146,86,127,100
181,132,159,106
178,137,150,128
108,116,111,100
128,106,82,70
93,83,109,120
184,139,187,173
163,158,145,198
197,177,135,123
149,159,238,276
141,119,114,107
154,325,111,233
130,102,115,112
144,101,115,123
226,118,160,161
243,141,158,139
153,123,143,185
91,222,144,73
130,114,177,134
163,135,126,110
143,152,132,140
184,175,107,109
165,117,193,117
166,113,152,116
258,123,99,96
157,122,131,183
124,131,140,137
162,157,225,182
234,163,136,84
101,131,137,113
154,138,131,220
167,105,164,147
132,156,185,134
159,128,146,118
151,162,143,111
242,162,229,135
0,150,140,201
162,126,117,142
124,168,154,120
131,157,142,145
116,152,119,172
129,161,106,166
188,139,120,142
185,162,163,123
198,245,155,291
180,115,144,145
144,115,142,99
171,138,148,132
126,110,210,154
225,136,165,228
136,139,156,126
155,152,122,107
152,149,148,125
142,166,150,151
160,157,120,142
156,102,126,165
109,128,195,201
145,123,120,100
154,118,135,98
157,141,159,101
151,170,144,140
149,112,142,148
180,167,112,270
192,264,223,107
136,190,108,123
90,113,156,103
154,134,116,114
194,107,102,94
104,135,94,104
177,97,124,149
122,109,90,162
153,139,118,151
156,143,126,100
149,121,160,114
143,112,143,101
180,176,145,355
115,132,135,121
125,132,99,136
133,234,140,252
182,104,221,115
307,237,153,232
