played_word,word_score
łóż,26
dialó,6
ny,2
iśce,11
hojai,11
hiw,8
cny,7
widea,18
miękce,14
flugw,9
romei,5
ćpaj,9
greni,1
cez,2
aj,3
mh,2
gren,8
łasztw,6
zią,12
dioro,4
opy,4
cez,3
iw,2
blakły,11
sotaicom,59
ińka,10
pub,6
nać,2
cznane,15
zroś,16
śmią,13
romanc,12
wygawr,8
sinawy,15
modź,12
pace,8
zbrylać,13
lelii,10
kekoi,10
drelih,9
dopięł,14
in,1
on,1
utrzeć,14
zgońe,12
jeżm,15
pełła,7
iłó,12
seny,4
edt,4
zaciec,7
łaziw,18
staz,10
kijaf,11
spu,6
udusi,20
przyszw,9
gemoa,13
wisioa,6
estre,9
oazoe,4
ny,2
aj,2
we,1
rozpij,9
besc,9
płowię,14
hiena,12
takom,8
bajze,4
agaró,30
tłuczk,16
palną,27
ćmic,10
pf,6
inkea,5
wen,2
uniżań,15
wysady,8
fiali,18
hajc,8
śnć,6
da,2
getr,14
helskm,10
chojk,11
włu,10
kliny,24
gały,6
on,1
rajdah,12
dośn,8
ład,7
nerp,9
boży,16
getró,5
aa,1
cweo,3
oćm,7
aranżeko,62
menzl,6
edt,4
woź,19
fryse,9
we,1
we,1
kędy,7
zupia,9
pozwam,8
umbi,6
begi,5
przeze,6
aa,4
jedye,9
wymogu,13
enolg,15
hodujm,10
feci,9
ajerai,4
ław,2
uz,1
spyż,8
storni,7
zalodźe,14
myrr,8
niob,8
łamag,15
tó,2
uz,1
siniza,5
cenu,12
saską,9
brań,14
łkj,5
ewe,2
iw,1
świni,18
kocac,18
zóz,12
pytą,6
imę,6
dal,6
on,1
pań,20
epodó,9
wpią,12
ziołe,6
olać,15
huj,6
odo,3
kie,2
ny,2
sweea,4
taśą,16
zdeba,16
wżęca,8
esce,15
italik,10
sera,2
patowgo,10
szmaj,7
facim,19
ranił,6
pani,9
halny,12
in,1
wrębó,11
dumk,7
kuźi,16
gad,5
wizi,4
nerp,3
serż,16
wen,2
thet,10
wońcą,13
grobe,6
eukoisa,80
nadal,8
ław,10
ożóć,12
rzęstw,9
zośk,13
modź,13
czy,12
źgam,5
wirioy,15
spytkai,9
zaciep,12
mufoi,14
on,1
bean,12
wijąe,9
sangh,24
dekapol,11
ćpaj,6
my,4
da,1
dobą,22
dośn,8
pf,15
pozbaw,6
agio,11
sekt,4
ozut,6
miau,4
molasą,9
zestawah,61
cóczyn,33
pęcikę,13
miry,6
tokey,12
hoker,11
ulen,6
napraw,18
nasyci,6
imałe,18
we,2
jołp,12
bindug,10
encjm,8
rwań,10
nać,7
szal,3
mięsnoć,82
żerani,19
łeza,8
any,5
stloy,12
pia,12
aa,1
on,1
niefocz,11
hula,16
harac,6
sowim,4
wtózyłeś,9
zeń,8
żul,3
tyj,5
as,1
doppi,9
kanj,6
zbiersc,14
dowilą,12
gromk,9
yamh,3
paź,10
ćmic,5
beje,5
wtózy,15
sangh,6
erki,5
zlezą,16
hacze,10
ład,8
obgada,14
ósece,9
apla,18
jego,11
iw,1
iw,1
karimta,9
kinoma,12
nać,13
rębny,11
zyzi,4
osio,3
ojkim,10
smreki,18
skup,16
lyc,8
fizy,8
son,3
pałowne,15
świru,10
dyla,14
liż,12
tyj,5
wżer,3
śnć,24
gasnł,8
wlote,12
wódze,27
inbą,8
lyc,4
wińci,10
pf,2
on,1
in,1
gażo,12
inklua,9
