played_word,word_score
żarot,20
oczą,13
bedel,8
źgam,12
romei,7
kwino,5
kyaa,5
on,1
tajałaym,64
iłó,8
adhezj,10
kodz,10
wysku,21
aa,2
in,1
morzeń,20
grzeb,18
zapnę,13
skici,15
fobie,10
iw,1
ślipsa,21
tenit,9
nasypó,14
houe,10
halal,6
wok,3
teraj,16
lizynah,11
wypaciły,61
iłó,18
szaboy,16
jaźń,37
sągi,4
czekita,13
winklw,14
tempua,10
grzędoi,16
uczoą,11
łasze,18
kofi,17
redliła,12
żomia,18
ny,1
ny,1
badya,11
kiś,12
ureaza,6
simo,15
kiść,6
real,10
chałk,10
odtaj,8
pać,7
zmyd,9
czynne,21
śmią,12
pab,3
falic,9
modź,13
rodowa,7
buszoi,9
tswna,12
on,1
wpę,6
pugnał,19
bad,12
girk,12
nieesoe,8
rwań,23
mh,6
piw,2
kacó,11
webie,4
stoik,5
zjeżm,16
ślińy,10
rós,2
operla,16
wróżoe,13
omińe,11
bastu,14
lejni,11
tatł,7
pchlicm,4
perwiyno,74
pucekami,63
garbić,14
pchli,8
tą,10
zamyd,7
hazzni,7
naośi,17
werwa,5
nefy,8
gasidu,7
my,4
tkw,3
razuo,9
poorani,18
dbj,15
inkę,8
ban,1
ewe,2
zupoa,16
helowe,11
kwokce,11
skrętc,11
kłem,9
trwoń,11
eś,5
pf,2
ny,2
szyzie,6
golż,13
unici,18
frazi,16
hajc,9
tą,2
in,1
dobrej,14
zraźż,22
rós,10
mimozy,7
bopoi,7
aa,2
son,2
kadys,7
ćmic,27
nawleką,24
geste,7
łza,4
dwa,3
any,2
ny,1
paiż,18
aigu,7
swadźą,16
męczż,15
zeloce,14
nawiń,30
ups,10
aj,3
oku,1
tiulk,9
haska,14
fimf,21
szałotw,24
ślide,8
ław,2
in,1
wód,11
teneso,5
amboni,8
webea,6
zryj,8
pytą,9
tyłem,30
dnieć,12
gryczk,9
akij,5
prr,2
da,2
zań,18
wlezę,9
bejmwi,24
yer,9
woź,10
fils,8
gazda,6
tó,2
kico,4
skrawano,60
duć,17
rozorani,57
aśći,12
flamy,8
włu,7
kie,3
scysa,10
posmace,18
dżizi,13
pekan,12
ogóry,10
nysą,6
bety,3
in,1
jeja,7
łat,5
hebd,7
ny,9
naspawni,58
yaria,12
wałoaty,14
aśći,12
da,9
zielny,6
tikim,10
ny,6
dzielny,2
łabuńsim,67
pf,14
bloge,14
hacl,8
ganim,7
nerp,8
posesji,11
węcu,19
dziwko,8
sterci,18
zaznje,10
ibo,3
ny,1
zacielas,61
wyżg,14
tezą,16
huzrów,10
woź,10
loka,6
korekt,18
wleczm,10
anemie,11
spągi,10
hisi,5
cynac,18
ny,3
aa,1
ufał,22
panek,12
wódze,30
dbj,16
tyld,8
aj,3
iw,1
żab,11
słona,7
słodź,13
bicio,6
naorz,5
eś,1
pozwań,11
kapeli,7
amaryis,24
cycuś,16
togę,10
hiw,4
poupin,20
mirtoi,7
surdya,9
dwa,12
ślink,20
gdez,5
afero,8
masóek,18
myrr,5
imę,6
łzę,4
lwią,8
laha,7
nałkń,24
nitecko,11
enci,5
myte,7
oćpną,12
as,1
eś,1
opajj,11
woź,20
ciżbe,17
wydawaj,9
groso,6
bal,4
as,1
odore,12
łapiey,15
nusjryci,66
okaze,5
zwidó,10
milsi,5
son,2
iw,2
uz,1
ciekan,9
żeni,21
sośie,8
utajż,9
erb,6
ezom,4
da,1
maźic,36
orfa,12
ległe,13
eten,6
zbyt,7
aa,1
mugoka,11
pardą,10
heló,13
pęz,7
sańi,8
my,2
iw,1
we,1
lasagom,66
wganań,20
wlizać,17
gameto,9
druhy,16
rosiejąej,5
nam,3
iw,1
mroźy,13
cyklikw,8
gibce,21
czónie,8
edt,9
kic,3
on,1
darłe,10
jawż,9
tępsą,14
tyk,8
opy,5
esce,4
da,2
fanzo,27
osieją,9
huśane,23
łabah,13
in,1
słys,14
gruski,13
oberek,10
jaźń,28
bitej,9
forla,8
da,2
wyżarz,10
lekó,8
nizane,10
łeza,10
eś,10
pąd,7
wyżarzoe,2
zatlij,9
zgińe,12
hanyi,13
sępis,9
loop,4
as,1
ooiy,4
dłoicy,18
walić,12
amadnie,10
imaca,7
żuł,3
ras,1
wen,2
orane,10
półnone,13
zraźnk,16
timau,11
byt,5
esce,8
efi,6
on,1
ćpnij,12
gwaniy,8
ghuu,18
lsącą,13
werpnę,10
my,2
apaszc,10
migmch,30
zaśwń,24
dżda,9
jeloka,9
brdya,12
takiem,8
ziomoi,5
edt,9
szosy,18
iw,1
gażo,20
hakuą,13
nietycie,60
ujeś,8
drinó,27
ścęci,10
mado,4
woź,10
zrosze,8
skaleń,13
zenza,10
wyka,6
pf,2
ny,2
wypicuą,11
bełsim,13
jasł,21
etroom,9
tomc,7
on,3
dal,2
pawie,6
flegmise,68
napawć,10
frond,11
sabr,4
uz,1
lidow,14
wiszą,18
lorninu,7
uwieńza,14
spyż,9
waść,12
tonf,9
aa,1
mdłyh,10
pucó,9
gibski,16
wył,15
estre,7
moa,6
in,1
arianah,7
dębici,13
pakuje,18
aj,6
leli,5
in,1
eś,1
yamh,11
owad,3
oktod,7
wieź,11
och,5
gemoa,4
sitarzm,64
balotam,20
żul,18
erraą,8
chalao,10
sypka,7
my,2
iw,1
fetue,10
seny,8
honwda,14
łosic,10
zjazy,12
do,4
ny,2
pełtj,10
czyżoi,7
polane,9
woź,10
zwinc,4
iw,1
we,1
tagie,12
demac,18
wróce,27
kolę,13
zeń,8
bing,5
wen,6
bety,7
wżer,7
kósko,6
sira,12
gazel,6
siłę,17
aj,3
my,2
galó,13
cred,10
depotmi,20
płońm,19
ołga,10
fake,8
dwa,3
pochry,9
obi,5
obiwzy,12
tasa,10
manian,8
prące,19
omywli,24
lincz,5
shoj,12
auku,14
raźa,11
on,1
zonę,16
kazany,7
edylo,18
praser,5
szap,5
absmk,7
wlec,6
edt,4
we,1
polókom,17
nutaji,10
zią,6
słowa,9
nimfy,9
nawiń,18
da,3
ewe,1
źgam,13
włu,21
mknije,27
bycza,16
cher,7
misie,4
tagin,8
gdez,6
śnć,11
cors,8
pront,7
liż,7
bipeami,72
parysc,12
befk,10
gridah,13
namodźe,25
żarnu,30
da,1
kipesem,10
dyby,6
lizałoy,9
rzesą,10
teraj,8
we,1
as,1
omyło,14
girlsa,8
tujoz,15
tintę,10
sejsz,8
iw,1
hileo,7
nogca,15
wańk,24
aciów,18
kiś,6
dan,1
iła,10
łonoą,8
palmati,11
folije,10
duć,24
zwróiła,8
son,4
erę,2
we,1
locj,10
kpę,12
bohr,7
dań,7
spiteo,14
szai,6
wieź,11
uz,3
żomia,9
złym,6
kadry,11
bing,7
wysadk,9
sztac,5
do,1
ośla,13
ujawił,27
gekna,12
nepoce,8
arekwym,9
ny,1
pogód,22
doketa,8
ranci,5
niesłań,17
usąz,9
oszwb,7
mu,5
pyt,4
illit,7
zgryzies,70
lajki,16
ekstaz,7
comba,12
aj,3
dopnę,19
rysowane,61
paź,11
nieba,18
techo,11
oćm,8
ny,2
fiali,8
ird,7
eś,5
ożog,7
rosłe,5
mh,3
pani,3
sośiku,24
ubieliła,65
dyble,27
pcha,16
aldę,19
grone,6
we,1
ołyień,14
ikawzmu,10
areanie,12
lóź,18
ikstj,8
in,1
wygon,10
achó,13
atiia,18
owse,5
płoci,6
aj,2
metopy,10
dyrdaj,9
ćmiąa,24
mże,6
nif,6
son,2
sazaie,12
zaleź,13
wyżg,6
spójne,12
diali,7
ozory,9
my,12
żga,8
holi,8
ciskna,21
wziera,10
kił,4
tor,3
yer,6
pidżakwi,62
usłane,12
dbm,7
swat,8
hity,6
zań,8
nakąię,14
modnś,10
bełt,6
forg,7
czepnch,27
oficy,22
mnogą,11
gideski,9
plajt,24
uchol,11
ludi,6
kia,9
złe,4
ewe,1
memej,7
wkła,11
pandy,8
zroś,17
brąz,5
my,2
we,1
bysió,9
zada,6
liszc,10
atary,8
lóź,9
in,1
do,1
żgane,10
totae,7
piracę,10
ocaeć,15
ekip,4
in,1
zewe,1
smyrnie,68
nawieź,15
omieś,18
wasane,15
uderę,27
psto,5
nif,6
cybety,11
poleć,17
działkoa,72
sodą,12
sańi,18
opy,3
noyów,14
żerdk,9
algi,12
baruje,11
da,1
hamakim,10
genewk,8
szkwle,6
zipm,6
darł,4
finf,24
dekadoi,8
grdce,10
wezuian,8
jeżakoy,9
góra,14
chię,20
met,3
baśk,12
och,7
lonty,9
postawil,59
migu,12
nać,7
czy,5
piw,2
garbad,9
fonią,9
lepmż,11
nypi,12
sieli,7
ars,4
ław,12
weźij,13
łajm,10
zań,15
zenza,5
we,1
any,8
usunie,9
biało,16
annat,5
olśień,26
zważ,12
oćm,8
ajoeów,11
wdoi,6
yaria,5
rioj,10
zgońe,6
tlą,7
pean,2
uwiado,7
kotwoi,9
haspem,9
pyt,4
raf,11
zeźą,11
mack,10
bywsi,7
gildi,10
zmełt,8
kraczę,30
in,1
fole,18
ścelą,13
śnć,8
rós,6
łosin,8
łapć,10
mychm,18
ny,9
wór,1
tangac,8
absmk,8
aj,3
liż,7
cady,8
usnę,21
mh,3
dialit,8
pietraia,59
rajer,18
bisu,8
ziońy,13
żyte,4
łza,2
on,1
upoi,12
grime,21
rdzao,5
puzze,5
woź,10
kie,3
ku,2
cery,12
dolcoi,7
jodue,13
łaby,10
słać,8
rażą,7
tond,3
wazo,3
ucinane,9
rajską,10
duglsy,8
zyfa,18
brawi,18
eś,5
on,1
zewó,17
partom,16
wiskicie,59
myjk,14
wpę,7
bioz,3
aa,2
ulegl,9
pisn,5
hysi,9
gryź,19
rwań,8
mh,5
złe,4
zwieco,14
cywikami,61
minetkmi,64
cenu,12
pływy,11
bezkre,7
ził,4
on,1
wieź,11
życie,9
pagu,6
wsó,6
ośći,12
on,1
in,1
jawię,11
hermą,10
podtura,30
hak,4
zwabi,12
tó,2
aa,2
bifoko,15
drejel,18
szpas,12
gladol,8
ans,2
we,1
zsineń,24
żytne,20
dozbiram,61
usarc,24
znoiły,8
jaźwy,12
ewe,3
włazah,9
darśną,39
zieję,10
oligo,14
tępak,9
da,2
lepikw,10
cygi,8
leiw,12
in,6
hadk,11
tor,2
feuów,24
obwitm,18
wypyli,8
imać,9
skec,5
czemu,18
ścemnia,16
źrebc,14
dypty,12
wódze,9
daliai,8
on,2
szpagcie,60
morą,16
duala,8
mokła,21
hiw,12
ny,1
in,1
ważc,19
skylght,11
zjawisu,9
terb,12
nać,7
amf,6
aj,3
hiw,3
zrosłe,8
zeń,8
mojeo,7
pss,7
iterboe,3
zyzi,10
zębak,11
izopodm,9
wygub,9
sczepm,9
esic,12
aj,4
żonin,13
fatsą,9
hewr,15
kwicó,14
ewe,3
suwa,2
aa,1
opatuało,62
holm,9
dydoona,8
siwcw,10
nać,8
on,1
krojąą,21
blon,10
mroźy,12
keglmi,27
hepi,4
suwań,7
złe,4
greja,18
garbis,11
wsązań,21
klimą,21
hedey,7
tmz,12
izbowm,7
pf,4
tuzina,9
iw,1
raźa,11
pać,7
tlaeś,9
dómy,9
łyp,5
połaż,11
obi,6
tryp,5
sadh,5
cack,6
aj,3
cny,6
in,1
zworz,4
fokua,11
wiskie,5
rznę,7
hak,4
odo,2
ny,2
dmi,10
zipm,5
pilić,11
natrió,12
acedj,21
streg,8
da,7
pały,5
okadony,8
boję,7
wucty,11
raźa,11
mh,3
in,1
we,1
zoiló,9
kagany,11
kaleczoe,58
rysa,10
wyżle,30
in,1
orzę,12
naśc,18
dolą,8
ureme,21
wińci,9
we,2
tą,14
zaczęt,10
burane,18
ćpaj,10
zryj,6
spań,20
zroś,7
mh,3
euloia,14
migow,13
techo,8
wan,3
ny,9
weng,5
baloneom,61
paróo,18
delft,30
idolac,13
miłe,5
nypi,3
in,1
czołowa,11
żyte,11
maż,9
raźa,20
kwoko,8
in,1
okapi,14
haden,7
kpć,8
wczya,6
sejwl,5
wojski,24
noob,5
tó,2
rośny,11
metalik,13
załzwi,21
cessę,16
dubasmi,5
nerp,4
we,1
basmi,13
gamera,14
zacin,6
tęgi,6
dho,8
aa,1
as,1
we,1
ilot,1
piałay,12
nardó,10
zmyj,13
fru,8
mże,6
lot,3
ideał,16
zaleź,22
codą,10
aryk,12
żylasa,9
efor,6
och,9
eś,5
nasp,4
mh,9
puero,13
wygnano,9
uz,6
wizi,12
ćwoa,8
tó,2
bordeów,12
sień,16
chn,4
szmat,12
dmi,5
on,1
tikoy,7
zapiejy,10
nażnj,10
pragęa,14
eklo,6
mu,2
agapo,16
messaino,60
izofo,13
nadgięca,66
renóka,10
type,8
opalałbm,63
bibai,11
mahał,8
lóź,13
lyc,8
udy,5
jarzmo,21
ukaż,10
dąsaj,16
akedi,10
hysi,6
łzow,4
ny,2
empoy,12
nosić,10
wańk,9
crine,18
wnosić,1
iw,1
polore,14
molw,5
stoę,6
kosmać,11
wiesz,4
hadr,6
wieszl,2
as,1
odrybż,15
źrebc,16
bidam,13
tó,10
netai,7
umęzone,15
świru,9
cewiła,11
szkic,7
aa,2
ny,1
ałuy,12
kega,21
piejey,18
tafeki,11
jog,6
migajc,24
ageizy,9
woź,27
ficyę,14
wińs,9
stilb,7
obyt,5
poziewaj,60
holi,12
wpatzona,122
puku,10
bendr,6
on,1
ras,1
wżd,24
panwa,10
kmieej,12
