played_word,word_score
inny,10
wątroie,11
hangea,18
trapmż,12
swak,8
eś,5
zada,3
drapanyi,60
choiowej,122
czum,11
hajtały,12
żmii,4
sanseier,57
dozó,12
lizawc,7
źgam,10
kie,3
surfy,33
mistel,12
wałęa,15
dingy,8
as,1
geg,12
poluję,11
odiu,11
awiacj,8
wańk,17
we,2
pf,14
płode,9
strąt,9
samao,5
kuźi,12
inny,4
zyg,4
ku,6
wen,1
etapoa,8
obit,15
zima,15
siedzę,7
any,5
kił,9
ny,3
etycce,11
wwozó,8
zadrwli,14
zeżre,8
nica,8
och,5
do,1
domie,10
wspinć,6
sztac,18
them,14
bąki,10
zip,3
ozojmi,7
rysy,5
lempr,9
wrabany,27
bila,4
in,1
fus,18
słodź,15
ożóć,16
znudzoa,60
cewce,8
ińka,13
aa,1
tmz,9
afgnie,7
cło,5
siedzę,11
nieryżo,6
rajok,14
her,4
dal,2
alib,13
drzeć,12
żegot,11
homoś,11
in,6
do,4
raniłe,7
wistuąc,14
gnaw,5
daniea,9
wykop,6
aa,1
ny,2
spieta,11
wykierue,61
hokejk,27
omyloo,14
tó,5
osnoo,4
met,1
nacj,14
esenja,6
wpis,12
paź,13
fizy,13
dbń,10
wpę,6
moc,4
prycz,16
doscły,9
znęće,19
kalió,18
wańk,9
żalą,12
suwn,3
aj,3
post,9
ziewu,12
yard,18
pite,12
nif,6
syt,3
raźa,11
gemam,16
bycznk,9
teje,11
hiw,5
leli,5
wen,1
słę,6
nieubrai,61
górne,10
omack,8
haden,8
toia,15
we,2
zazłć,13
uczeńi,16
wetoi,18
rowkoej,8
afone,8
dwa,3
ażi,14
maźic,14
tarzł,10
lynhu,8
gad,11
menzr,6
tam,4
do,2
spanielk,60
wersalia,58
szal,7
bór,18
combr,14
muzy,9
groń,14
osią,8
pawęz,13
śceki,27
ny,6
iw,2
in,1
akebi,11
wsyssz,6
nowy,6
amork,21
kląż,7
rwą,2
iw,1
eee,1
topnce,12
tiolm,7
ohmw,10
sajgnem,9
rypie,5
in,1
bikerz,18
dziuroa,13
owadz,15
pultó,12
zacin,10
żena,9
yer,3
da,1
zjedz,9
śnć,16
ołga,7
offah,14
łza,12
kic,4
pf,2
ny,1
ujawi,11
kłośż,11
orekyna,59
dbń,10
gafe,9
tną,3
zęza,12
stoik,5
dho,11
nowsko,4
wirio,4
leće,7
aa,1
mamż,9
czapnk,9
zdeba,8
sylei,21
rwą,11
zań,6
margla,20
zaklinal,63
hipik,12
dozó,8
widź,22
soja,5
sur,12
tyłk,5
ukazani,70
nawieź,21
iśce,9
ubar,7
pasyn,14
strąg,27
biz,3
wpiłe,13
tercyj,9
leniakm,68
dolara,7
ideowo,8
blacha,15
tytyie,24
olefn,24
modę,11
zużli,7
tó,5
mojr,4
zsyłać,16
apiah,9
ińko,14
dengm,7
iw,1
ogryźż,13
lacuą,22
emfaz,11
gojk,6
do,2
holm,6
logos,1
wiró,16
ciszż,9
logo,12
pompel,8
zmykmy,9
cred,4
bal,1
psiena,6
uróś,9
joniah,12
eter,4
dyzma,6
kra,3
śpis,4
we,1
biz,11
kobac,6
węzie,8
wobł,7
teter,2
pastel,11
iw,1
jutowm,11
drożao,20
kasb,6
hepi,5
my,6
biz,4
iw,1
ajentk,21
drwią,24
obgięc,15
kilac,5
łóze,5
da,2
dal,2
chiea,16
menda,10
pitt,6
afty,8
gilz,12
eś,5
zeń,8
rioj,8
wyprawe,9
unosu,12
oceniłay,61
kniai,8
fezó,7
zooi,5
da,1
basem,8
etyne,7
tyj,4
szai,4
zośk,7
pyto,6
wpę,6
iw,1
swąom,16
kmiey,14
aigu,24
wskro,15
radli,5
losi,4
kabale,8
kejf,9
gapca,9
derd,7
jeja,6
ław,4
uz,1
ans,1
cenim,14
odszumil,64
nożą,11
hanyi,8
raźa,13
chów,10
zdołoać,15
pia,8
hipizem,8
widet,10
ssaw,12
guślrz,12
sepia,9
taony,7
ató,1
rybkmi,10
czyj,9
obcym,8
redan,12
eoniu,5
tó,5
we,1
raf,16
umłcę,13
grul,6
sitowe,8
wonieć,12
zaleź,14
imioa,12
łąka,10
nygo,6
zeń,16
rżę,5
da,2
wwika,10
gotk,7
osady,6
sądź,15
płace,13
mu,2
dane,1
izan,8
zań,8
morio,6
honkr,6
obija,6
zemst,7
tasa,6
eś,5
pf,5
winyi,5
erzaów,27
tępyh,15
dirk,18
siepał,9
we,1
dulić,15
boży,11
bitej,16
napalis,57
cneu,21
mh,9
on,1
