played_word,word_score
żadn,4
yer,4
tild,5
ny,2
żuk,8
sera,3
we,1
pań,9
westeny,12
wepnj,13
łgne,7
zeki,4
tomc,7
rausu,7
mh,5
as,1
woź,9
tyj,10
śnć,17
iła,6
gibic,8
zaznm,6
mocu,5
prr,2
iw,3
schabó,14
dioleina,59
kaowa,12
tęgi,8
okala,12
piw,9
yamh,3
nelm,6
lezy,6
kahał,8
dom,3
etk,4
on,1
dietk,3
gnilny,10
wzioń,24
manol,15
łajzw,11
fus,11
pupo,24
my,2
kia,1
kwitkem,18
zwóza,17
hafcarze,57
woź,19
liż,6
tmz,3
liryk,12
dynod,9
crepdom,18
areanie,5
głoś,9
asow,2
zmyd,7
zmydana,3
rzep,4
wieź,11
as,1
zocy,4
iw,1
fil,4
guz,3
adżie,16
roiła,21
trads,10
splisu,18
lez,5
naleze,3
wywraały,65
jaśle,15
skeet,8
bąkaną,16
blonę,12
chn,5
mh,3
on,1
tymf,13
gańd,15
kaemu,27
obozó,13
opić,8
nocj,4
do,2
iw,1
wok,4
mawoka,4
dirc,4
weng,6
żut,2
sra,2
złe,4
aa,1
hak,3
lidekę,22
uwoz,15
spyż,12
charmi,10
ślij,18
zią,3
ny,2
we,1
do,1
pozmywną,60
lińcy,14
śnła,10
baszto,14
nudai,24
dzyń,5
pot,1
wety,2
seteów,10
flugw,11
ćkł,14
piąc,19
mache,10
in,1
ził,5
hopi,6
iw,1
fier,3
aa,1
sra,2
on,1
do,2
ku,2
boję,11
tlij,9
byczym,11
zeń,24
mopom,6
lanc,4
geg,12
eś,5
leserk,2
piw,2
we,1
ató,16
rozskac,12
oche,7
sila,4
wąsa,7
edt,3
tą,2
any,4
zwiani,5
bufę,11
trumsu,20
niećmy,10
leser,15
wież,12
my,4
aa,1
koje,7
woza,8
ubar,5
ryże,8
yer,3
ny,1
as,1
aj,3
hula,11
agawę,8
pomosu,9
cezą,14
amf,11
szła,7
nico,4
galowe,9
rzeźna,14
czadzice,56
ćmik,20
kiś,8
ził,4
znad,3
bodotm,9
cha,15
pyli,9
adatm,11
niańk,30
swyi,4
yor,4
zaufm,11
neko,4
mapą,5
son,2
iw,2
ird,4
eś,1
szram,10
gaciow,13
wizuj,12
pań,16
beló,27
wżd,12
imprezoa,59
lizać,10
tałzn,13
noeze,12
odętk,11
sąsadko,24
ageizy,24
libacyne,65
paź,10
kiś,16
smyc,3
aa,1
as,2
aa,2
zezai,4
wwa,2
liż,6
liżm,2
gurd,9
my,2
on,1
iw,1
in,1
bziaa,5
wełno,7
kryli,9
orem,15
ożyć,9
dekarsc,16
wsó,11
łyp,5
hopi,6
liźie,13
tańce,12
mung,4
hyze,6
bio,8
hiena,6
doleją,36
usarsc,16
aj,3
emc,4
gorem,3
donn,3
we,1
żga,4
abba,7
usnę,7
skai,5
bims,3
we,0
świnią,5
pad,3
jasioy,12
małżow,8
tężena,10
zyfa,9
świni,27
hiw,4
uduszoy,13
pań,9
andoyt,10
ilac,7
eworje,10
erc,3
duć,8
omieć,9
lott,10
cewce,10
pf,6
yor,2
in,1
wsncia,7
sra,2
aj,3
mh,2
ził,4
fils,8
łudę,8
rebowe,16
zewó,12
nać,13
życie,10
cisty,9
piuk,5
leiw,3
wersowe,8
zdaj,12
bekarą,16
syzgie,9
rudę,10
snac,2
my,2
wonah,11
hepi,10
zgaś,14
imakm,24
spocoy,5
blaz,3
in,1
sire,4
wrotai,14
łyp,4
iw,1
dreda,6
łypic,7
nam,6
uz,3
obi,4
spyloa,10
aliaż,19
sańi,9
kręć,9
czy,10
fity,8
osąc,6
nieławkwe,71
dośpę,9
obezn,6
wzgóza,11
galó,12
aj,6
mh,3
tą,2
on,1
wieź,11
chałk,13
kyaa,8
menowi,18
znęce,8
in,1
pajeo,8
ozea,3
ny,4
wrzó,7
iw,1
gafe,6
pan,3
ku,3
kępiasą,23
cały,8
aelwców,8
kobemi,10
sieje,5
koki,5
biz,2
nyss,2
gad,2
hyćę,11
genowy,7
tyj,11
broda,24
dieni,5
ku,6
ars,2
oku,1
żgały,13
kimane,7
tam,8
wino,9
zaśwń,14
in,1
on,2
rojn,10
dbń,10
yer,2
wam,1
pitt,7
we,1
raf,2
da,2
gurom,9
haom,7
eś,10
kasłsz,27
żną,10
bliźił,31
neodyu,7
ochwty,14
wyza,8
wginli,8
zsiał,7
celebę,18
kenes,15
kantk,8
umór,10
napp,6
frejm,15
wyza,5
sonda,3
as,1
zip,4
pytk,6
ny,3
nywo,2
kie,2
ghu,9
czipa,3
as,1
lez,3
wasasko,8
ujawi,8
kuło,14
rońie,10
batonoi,7
zmyś,16
dmi,3
biz,1
fany,8
orędue,15
abatyą,13
esej,15
iłó,16
depcą,7
gaż,8
bieśe,15
pomieli,18
znaleźn,14
cewkam,16
skuło,1
posła,8
posłana,2
biopó,9
iw,1
kie,2
yer,3
fil,1
as,1
róle,3
wan,2
fad,14
bezprai,10
treśc,19
nokat,15
kumć,20
widź,12
lole,5
obi,1
gorycc,12
tsub,18
arią,14
unizy,8
końce,11
żeła,7
aa,1
iw,1
on,1
blagę,13
jodkim,10
ził,7
ksyk,21
chant,6
them,6
aj,3
wwa,3
sra,2
atar,7
ręc,7
atary,2
pite,4
aj,3
czy,1
we,1
zewe,1
neskmi,24
rżany,11
mapowy,16
dotlę,7
ziso,8
usuwaj,24
heló,8
łokić,11
bohea,14
zsyf,12
ny,9
haiki,9
emc,15
da,4
czyj,3
in,1
zaspań,20
coto,7
redł,6
zią,6
agio,7
łanie,4
in,1
ewe,1
pean,5
ny,2
alby,7
iw,1
kro,2
aa,1
omykw,1
buret,9
zeń,8
tyj,5
zdaj,4
żmii,7
diwó,14
woza,4
stuł,12
in,1
osianyh,12
dynod,8
zesika,9
mykw,21
fru,6
mątw,11
pęz,7
on,1
hyzou,11
algi,11
ezom,8
opałe,7
alka,18
śnca,9
efi,2
we,2
dawe,3
juge,7
ny,6
szaga,6
podlec,11
on,1
ku,2
da,2
szeji,12
źgajm,15
hysi,6
apelana,12
siorp,12
wór,16
pche,6
odstal,9
wiśna,10
kimż,18
byłą,16
kminu,10
ny,2
we,1
casto,18
izomeri,7
zubrm,16
tafi,13
zaceń,11
iw,2
wpę,7
stoę,8
koki,4
dmi,3
inny,3
dho,5
żul,8
iw,1
amf,2
on,1
włóse,11
obycai,11
pomrowic,62
enolwi,10
eś,18
bredź,14
pf,5
gastrzc,9
wiszą,16
ojca,10
jang,6
huj,12
eten,4
kia,3
as,1
gółk,12
nadlel,12
dyńo,33
arec,15
halit,6
my,2
samao,6
nysą,9
płoż,8
on,1
pche,6
uz,1
wkluz,5
on,1
oćm,7
syńiu,13
agio,11
hewei,12
zlotó,10
parte,7
tyj,5
zima,15
amidz,7
źdzrą,29
ręc,16
nif,18
dan,4
spyż,20
kaikem,9
sośic,11
struwaj,33
regip,6
ued,3
zeźę,16
jasyu,21
zduszałe,1
tó,2
mitó,3
nati,4
eś,1
do,1
odo,1
iw,1
hiw,3
udręk,16
ścepie,22
wydrwj,9
stilb,8
zwinne,10
ażi,6
lińcy,16
ósma,18
aloh,15
zbecała,11
pergoe,8
ny,1
odorz,1
zduszał,10
wypomia,18
fonią,16
zadbni,9
zyg,10
jakl,5
ars,2
zsyf,9
fris,3
on,1
żynw,7
do,1
baone,5
kuce,6
we,2
ny,2
siakii,8
calcah,9
zootop,8
odwozy,14
mełłb,9
zeń,8
tut,4
in,2
in,1
eś,0
dobytk,12
jarlu,18
jog,12
icho,11
szpon,6
rzną,7
kie,3
schłóź,19
śpiewy,10
drwac,15
omarzłe,27
kipa,6
ans,2
aa,1
pajeo,8
rewo,6
wpił,6
icho,6
dań,7
zlep,5
tną,3
mh,2
prasaę,11
dłoią,14
jute,16
ósmy,8
niehaln,9
śnć,7
wwa,9
nać,1
cykasz,10
brdya,11
ośle,12
zyg,8
da,9
woki,5
ewe,1
cabie,10
efebi,8
zmienia,59
oktyn,14
żga,18
udałe,7
son,2
my,4
wymydić,12
epk,4
zlotó,5
zada,5
kuc,2
wersj,6
eś,5
wyznny,12
kósko,19
łeza,5
tall,6
acai,3
iła,8
cyganie,2
in,1
imę,1
kolebuią,64
arapimo,16
amf,11
spu,9
bomu,7
ninj,15
eee,2
nasęi,27
cygan,12
cerowe,8
źgam,12
zgroz,5
hiw,3
edt,4
as,1
żeni,8
imę,7
mu,3
galę,9
muein,3
unik,4
baźe,13
tą,5
okośie,10
ojca,12
oczatc,8
ubiła,13
kajtoie,16
da,2
piw,2
tarzno,8
szerze,5
kserah,9
orańso,24
zamyk,9
mh,9
on,1
tylim,21
wdłw,7
indy,12
zwarl,5
waró,24
pysi,4
sra,3
juch,11
erb,7
ny,2
keli,8
piw,3
nam,2
do,2
da,2
awantau,3
obniżajc,24
possanyi,59
cóki,20
gnomk,21
ochra,7
toby,5
awanta,4
wok,1
wabłaś,16
zagnij,16
kwil,9
wan,6
da,4
werszi,5
hyme,7
miliła,12
ińka,10
ozię,6
perą,8
oimach,10
wen,3
nać,7
as,1
elką,9
tajgi,9
niob,4
da,2
łuskowao,59
lianai,10
omieś,9
modę,18
heły,8
ewe,2
fizzwi,27
niżsymi,14
ird,12
indeku,7
pito,7
aa,1
chlajn,18
lóź,14
bitej,13
siace,10
rzepo,10
we,2
as,1
zatlij,10
mu,5
oćce,8
cofas,1
udy,8
ny,2
do,2
any,3
iw,1
my,2
cóki,9
cofa,16
hoc,8
winowe,12
gaikim,9
biz,4
eee,2
wdzierm,14
lepis,8
wraża,14
kahiy,14
synopse,6
bolic,4
arekwa,10
rzną,17
pultaj,16
nagniat,8
oślepis,6
szła,5
on,2
tyld,8
dmi,3
słać,10
omyj,5
mh,3
wolc,6
pf,5
orzę,4
prr,6
ordyńc,13
taksj,14
zwieś,13
żonin,9
colę,13
aa,6
tyk,4
skrabeze,58
yunany,14
piłem,27
ażi,4
buhae,24
hiw,2
we,1
uwieszas,56
gagó,21
indeku,14
ban,4
pojąć,11
in,1
uz,4
hut,5
as,1
nypi,4
bok,3
hyze,6
uzanie,4
rysa,2
ręc,3
acai,7
walin,10
ozone,4
dozó,21
celny,4
piorą,10
słę,13
zima,6
zeku,1
adatm,11
wżd,5
nowy,6
eee,6
afar,7
jawić,11
skatolga,60
jigm,10
wpis,4
dyby,7
pekty,14
zeń,8
